;date;type;registration;operator;fatalities;location;country;cat;corrected_year
12346;1972-12-27;LOCKHEED L-1329 JETSTAR I;N400M;FLUOR CORP;3;SARANAC LAKE, NY;USA;A1;1972
12347;1972-12-28;FOKKER F-28 FELLOWSHIP 1000;EC-BVC;IBERIA;0;BILBAO AIRPORT (...;SPAIN;A1;1972
12348;1972-12-29;LOCKHEED L-1011-385-1 TRISTAR 1;N310EA;EASTERN AIR LINES;101;EVERGLADES, FL;USA;A1;1972
12349;1972-12-31;DOUGLAS DC-7CF;N500AE;AMERICAN EXPRESS LEASING;5;NEAR SAN JUAN-ISLA VE...;PUERTO RICO;A1;1972
12354;1973-01-02;BOEING 707-321C;CF-PWZ;PACIFIC WESTERN;5;NEAR EDMONTON INTERNA...;CANADA;A1;1973
12355;1973-01-02;NAMC YS-11;UNREG.;PIEDMONT AIRLINES;0;BALTIMORE/WASHIN...;USA;H2;1973
12356;1973-01-04;CONVAIR CV-640;UNREG.;PACIFIC WESTERN;0;VANCOUVER INTERN...;CANADA;H2;1973
12357;1973-01-14;ILYUSHIN IL-14;644;CAAC;29;NEAR GUIYANG;CHINA;A1;1973
12358;1973-01-19;DOUGLAS C-47B (DC-3);PK-EHC;TRANS NUSANTARA;0;PONTIANAK-SUPADI...;INDONESIA;A1;1973
12359;1973-01-19;VICKERS 802 VISCOUNT;G-AOHI;BEA;4;NEAR GLASGOW;U.K.;A1;1973
12360;1973-01-21;ANTONOV AN-24B;CCCP-46276;AEROFLOT, NORTH KAVKAZ;39;NEAR PETUKHOVO, BOLSH...;RUSSIA;A1;1973
12361;1973-01-22;BOEING 707-3D3C;JY-ADO;ALIA, OP.FOR NIGERIA AIRWAYS;176;KANO INTERNATION...;NIGERIA;A1;1973
12362;1973-01-22;DOUGLAS C-47 (DC-3);UNREG.;INDONESIAN AF;4;NEAR PONTIANAK AIRPOR...;INDONESIA;A1;1973
12363;1973-01-25;CURTISS C-46R;CF-HQI;REINDEER AIR SERVICE;0;SACHS HARBOUR AI...;CANADA;A1;1973
12364;1973-01-27;DOUGLAS DC-6A;HR-TNO;TAN;3;NEAR TEGUCIGALPA;HONDURAS;A1;1973
12365;1973-01-28;LOCKHEED LC-130R HERCULES;155917;US NAVY;0;SOUTH POLE STATION;ANTARCTICA;A1;1973
12366;1973-01-29;ILYUSHIN IL-18D;SU-AOV;EGYPTAIR;37;NEAR NICOSIA AIRPORT ...;CYPRUS;A1;1973
12367;1973-01-29;DOUGLAS C-47 (DC-3);PP-SQA;VASP;0;RONDONOPOLIS AIR...;BRAZIL;A1;1973
12368;1973-01-30;DC-9-21;LN-RLM;SAS;0;OSLO-FORNEBU AIR...;NORWAY;A1;1973
12369;1973-02-03;DOUGLAS C-47 (DC-3);IJ341;INDIAN AF;0;UNKNOWN;UNKNOWN COUNTRY;U1;1973
12370;1973-02-05;DHC-6 TWIN OTTER 200;OH-KOA;KAR-AIR FINLAND;0;NEAR PUDASJÃ¤RVI;FINLAND;A1;1973
12371;1973-02-05;DOUGLAS EC-47Q;43-48636;USAF;8;NEAR SARAVAN;LAOS;C1;1973
12372;1973-02-06;DOUGLAS C-47B (DC-3);CF-HTH;NORDAIR;0;MONTREAL-DORVAL ...;CANADA;O1;1973
12373;1973-02-06;LISUNOV LI-2;UNREG.;SOVIET AF;4;NEAR PROVIDENIYA AIRP...;RUSSIA;A1;1973
12374;1973-02-09;FAIRCHILD C-123K PROVIDER;374;AIR AMERICA;3;NEAR THAKHET EAST;LAOS;C1;1973
12375;1973-02-12;DOUGLAS C-47A (DC-3);CF-OOV;KENTING ATLAS AVIATION;0;NEAR IQALUIT AIRPORT,...;CANADA;A1;1973
12376;1973-02-17;ANTONOV AN-12BP;CCCP-11341;AEROFLOT, POLAR;0;AMDERMA AIRPORT ...;RUSSIA;A1;1973
12377;1973-02-19;TUPOLEV TU-154;CCCP-85023;AEROFLOT, INTERNATIONAL;66;NEAR PRAHA-RUZYNE INT...;CZECH REP.;A1;1973
12378;1973-02-21;LEARJET 24;N100SQ;AIR TAXIS;2;DETROIT-WILLOW R...;USA;A1;1973
12379;1973-02-21;BOEING 727-224;5A-DAH;LIBYAN ARAB AIRLINES;108;NEAR ISMA'ILIYA;EGYPT;C1;1973
12380;1973-02-21;DOUGLAS C-47A (DC-3);HP-560;AEROVIAS URRACA;22;CERRO HORQUETA;PANAMA;A1;1973
12381;1973-02-21;CURTISS C-46A;N10427;JOANNE FASHIONS;2;NEAR BARRANCABERMEJA ...;COLOMBIA;A1;1973
12382;1973-02-23;DOUGLAS DC-3F;ZK-AOI;SOUTHERN AIR SUPER;1;SEDDON;NEW ZEALAND;A1;1973
12383;1973-02-23;C-115 BUFFALO (DHC-5);2372;BRAZILIAN AF;3;MANAUS AIR BASE,...;BRAZIL;A1;1973
12384;1973-02-24;ILYUSHIN IL-18V;CCCP-75712;AEROFLOT, TAJIKISTAN;79;NEAR URA-TUBE;TAJIKISTAN;A1;1973
12385;1973-02-26;LEARJET 24;N454RN;MACHINERY BUYERS CORP;7;NEAR ATLANTA-DEKALB P...;USA;A1;1973
12386;1973-02-28;DHC-6 TWIN OTTER 100;PK-NUC;MERPATI NUSANTARA;13;NEAR NABIRE;INDONESIA;A1;1973
12387;1973-02-28;YAKOVLEV YAK-40;CCCP-87602;AEROFLOT, KAZAKSTAN;32;SEMIPALATINSK AI...;KAZAKHSTAN;A1;1973
12388;1973-02-28;ANTONOV AN-24V;012;POLISH AF;18;NEAR SZCZECIN-GOLENIÃ...;POLAND;A1;1973
12389;1973-02-28;DHC-5D BUFFALO;UNREG.;PERUVIAN AF;12;NEAR SAN RAMÃ³N;PERU;A1;1973
