;date;type;registration;operator;fatalities;location;country;cat;corrected_year
22218;2014-11-06;BOEING 737-86J (WL);VT-SGK;SPICEJET;0;SURAT GUJARAT AI...;INDIA;A2;2014
22219;2014-11-07;BOEING 737-4Y0;YA-PIE;ARIANA AFGHAN AIRLINES;0;KABUL AIRPORT (KBL);AFGHANISTAN;A1;2014
22220;2014-11-09;LEARJET 35A;N17UF;DIPLOMAT AVIATION (BA.);9;NEAR FREEPORT-GRAND B...;BAHAMAS;A1;2014
22221;2014-11-14;BAE BAE-748-399 SRS. 2B LFD;5Y-BVQ;GLOBAL AIRLIFT;2;PANYAGOR AIRSTRIP;SOUTH SUDAN;A1;2014
22222;2014-11-20;CESSNA 208B GRAND CARAVAN;C-FKAY;AIR TINDI;0;NEAR YELLOWKNIFE, NT;CANADA;A1;2014
22223;2014-11-21;EMBRAER PHENOM 100;N584JS;JETSUITE;0;HOUSTON-SUGAR LA...;USA;A1;2014
22224;2014-11-24;GULFSTREAM AEROSPACE G-1159A GULFSTREAM III;N103CD;WORLD HEIR;0;LONDON-BIGGIN HI...;U.K.;A1;2014
22225;2014-11-24;BOEING 737-883;LN-RRS;SAS;0;STAVANGER-SOLA A...;NORWAY;A2;2014
22226;2014-11-25;BEECH B300 KING AIR 350;RA-02778;AIR SAMARA;0;SAMARA-KURUMOCH ...;RUSSIA;A2;2014
22227;2014-11-27;LOCKHEED C-130M HERCULES;2470;BRAZILIAN AF;0;TENIENTE RODOLFO...;ANTARCTICA;A2;2014
22228;2014-12-01;LOCKHEED C-130H HERCULES;88-4404;USAF;0;NEAR MACKALL AAF, NC;USA;A1;2014
22229;2014-12-01;ALENIA C-27J SPARTAN;10-27030;US ARMY;0;NEAR MACKALL AAF, NC;USA;A2;2014
22230;2014-12-04;CESSNA 208B GRAND CARAVAN;V3-HHU;TROPIC AIR;0;BELIZE CITY MUNI...;BELIZE;A1;2014
22231;2014-12-04;ATR 72-202;D-ANFE;AVANTI AIR, OPF DARWIN AIRLINE;0;ZÃ¼RICH-KLOTEN A...;SWITZERLAND;A2;2014
22232;2014-12-07;BEECH B99;VQ-THL;INTERCARIBBEAN AIRWAYS;0;PROVIDENCIALES I...;TURKS & CAICOS;A2;2014
22233;2014-12-08;EMBRAER PHENOM 100;N100EQ;SAGE AVIATION;6;NEAR GAITHERSBURG-MON...;USA;A1;2014
22234;2014-12-09;ROCKWELL SABRELINER 60ELXM;XB-KLQ;UNKNOWN;0;WITHIN VENEZUELA;VENEZUELA;C1;2014
22235;2014-12-12;ANTONOV AN-32B;SCM-864;SRI LANKA AF;5;HOKANDARA;SRI LANKA;A1;2014
22236;2014-12-12;ANTONOV AN-26B;UP-AN608;BURUNDAIAVIA;0;OBO-MISSION AIRS...;C.A.R.;A1;2014
22237;2014-12-12;BOEING 737-76N (WL);N7710A;SOUTHWEST AIRLINES;0;BALTIMORE/WASHIN...;USA;A2;2014
22238;2014-12-13;CESSNA 208B GRAND CARAVAN;N208B;PRIVATE;0;BRITTAS HOUSE AI...;IRELAND;A2;2014
22239;2014-12-18;LEARJET 25D;N265TW;T-AIR;2;NEAR CHAMPOTÃ³N;MEXICO;A1;2014
22240;2014-12-21;DORNIER 228-212;B-55565;DAILY AIR;0;TAITUNG AIRPORT ...;TAIWAN;A1;2014
22241;2014-12-22;DHC-6 TWIN OTTER 300;XA-UOA;TRANSPORTES AÃ©REOS TERRESTRES;0;TEQUESQUITENGO A...;MEXICO;A2;2014
22242;2014-12-28;AIRBUS A320-216;PK-AXC;INDONESIA AIRASIA;162;KARIMATA STRAIT;INDONESIA;A1;2014
22243;2014-12-28;BN-2A-26 ISLANDER;8R-GHE;ASL;2;WITHIN GUYANA;GUYANA;A1;2014
22244;2014-12-28;ANTONOV AN-26;4L-AFS;AG AIR;6;NEAR UVIRA;D.R. CONGO;A1;2014
22245;2014-12-30;BOEING 737-4H6;AP-BJN;SHAHEEN AIR;0;LAHORE-ALLAMA IQ...;PAKISTAN;A1;2014
22246;2014-12-30;CESSNA 208B GRAND CARAVAN;N950FE;FEDEX, OPB BARON AVIATION;0;ROSWELL INTERNAT...;USA;A2;2014
22249;2015-01-02;SAAB 340B;G-LGNL;LOGANAIR, OP.FOR FLYBE;0;STORNOWAY AIRPOR...;U.K.;A1;2015
22250;2015-01-03;ANTONOV AN-26B-100;RA-26082;KAPO AVIA;0;MAGADAN-SOKOL AI...;RUSSIA;A1;2015
22251;2015-01-04;FOKKER 50;5Y-SIB;SKYWARD EXPRESS;0;NAIROBI-JOMO KEN...;KENYA;A1;2015
22252;2015-01-08;BOMBARDIER CHALLENGER 300;PR-YOU;BRADESCO LEASING S.A. ARRENDAMENTO MERCANTIL;0;SÃ£O PAULO-CONGO...;BRAZIL;O1;2015
22253;2015-01-09;CESSNA 208B GRAND CARAVAN;8R-GAB;TRANS GUYANA AIRWAYS;0;MATTHEWS RIDGE A...;GUYANA;A2;2015
22254;2015-01-10;BOEING 737-43Q (SF);ET-AQV;ETHIOPIAN AIRLINES, OP.FOR ASKY AIRLINES;0;ACCRA-KOTOKA AIR...;GHANA;A1;2015
22255;2015-01-11;DHC-6 TWIN OTTER 300;PK-YRU;TRIGANA AIR SERVICE;0;ENAROTALI AIRPOR...;INDONESIA;A2;2015
22256;2015-01-12;DORNIER 328-110;D-CIRD;SUN-AIR, OPF BRITISH AIRWAYS;0;HAMBURG-FUHLSBÃ¼...;GERMANY;O1;2015
22257;2015-01-15;BAE ATP-F (LFD);G-BTPC;ATLANTIC AIRLINES;0;COVENTRY-BAGINTO...;U.K.;A2;2015
22258;2015-01-16;BN-2A-8 ISLANDER;YV2238;CHAPI AIR;0;LOS ROQUES AIRPO...;VENEZUELA;A1;2015
22259;2015-01-17;BOMBARDIER GLOBAL 5000;RP-C9363;CHALLENGER AERO CORPORATION METRO MANILA;0;TACLOBAN AIRPORT...;PHILIPPINES;A1;2015
22260;2015-01-18;ANTONOV AN-26;YK-AND;SYRIAN AIR FORCE;30;NEAR ABU ADH DHUHUR A...;SYRIA;A1;2015
22261;2015-01-20;ANTONOV AN-2P;UP-A0314;OLIMP AIR;6;NEAR SHATYRKUL MINE;KAZAKHSTAN;A1;2015
22262;2015-01-20;BN-2T ISLANDER;ZS-NAT;XCEL AVIATION;0;DAWLATABAD DISTR...;AFGHANISTAN;A2;2015
22263;2015-01-20;FOKKER 100;HB-JVE;SWISS, OPB HELVETIC AIRWAYS;0;NÃ¼RNBERG AIRPOR...;GERMANY;A2;2015
22264;2015-01-26;BOEING 737-8KN (WL);A6-FEK;FLYDUBAI;0;NEAR BAGHDAD INTERNAT...;IRAQ;C2;2015
22265;2015-01-29;CANADAIR CHALLENGER 601;N214FW;DINAMA AIRCORP;3;NEAR BOCA DRUIF;ARUBA;C1;2015
22266;2015-01-30;ILYUSHIN IL-76T;5A-DNK;LIBYAN AIR CARGO;0;TRIPOLI-MITIGA I...;LIBYA;C1;2015
22267;2015-02-02;BAE 4100 JETSTREAM 41;SX-DIA;SKY EXPRESS;0;RHODES/PARADISI-...;GREECE;A1;2015
22268;2015-02-04;ATR 72-212A (ATR 72-600);B-22816;TRANSASIA AIRWAYS;43;NEAR TAIPEI-SONGSHAN ...;TAIWAN;A1;2015
22269;2015-02-09;DHC-6 TWIN OTTER 200;N30EA;EAGLE AIR TRANSPORT;0;SEBASTIAN MUNICI...;USA;A2;2015
22270;2015-02-09;DHC-6 TWIN OTTER 200;N70EA;EAGLE AIR TRANSPORT;0;SEBASTIAN MUNICI...;USA;A2;2015
22271;2015-02-09;EMBRAER ERJ-190AR (ERJ-190-100 IGW);N953UW;US AIRWAYS;0;HOUSTON-GEORGE B...;USA;A2;2015
22272;2015-02-11;BEECH 1900C;YV1674;AEROPANAMERICANO;4;NEAR MIAMI EXECUTIVE ...;USA;A1;2015
22273;2015-02-14;ANTONOV AN-32B;T-256;ANGOLAN AF;0;MALANGE AIRPORT ...;ANGOLA;A1;2015
22274;2015-02-14;ANTONOV AN-26B-100;FA312;MOZAMBIQUE AF;0;NEAR QUELIMANE AIRPORT;MOZAMBIQUE;A1;2015
22275;2015-02-18;ANTONOV AN-26B;EW-246TG;GENEX;0;KYIV-BORISPOL AI...;UKRAINE;O2;2015
22276;2015-02-18;YAKOVLEV YAK-40;UR-MIG;BPV GROUP;0;KYIV-BORISPOL AI...;UKRAINE;O1;2015
22277;2015-02-18;AIRBUS A300B4-605R (F);A6-JIM;UNIQUE AIR;0;SHARJAH AIRPORT ...;U.A.E.;A2;2015
22278;2015-02-18;TUPOLEV TU-154B-2;RA-85587;RUSSIAN AF;0;SAMARA AIRPORT (...;RUSSIA;O1;2015
22279;2015-02-23;BAE-146-200;G-RAJJ;CELLO AVIATION, OPF AURIGNY AIR SERVICES;0;GUERNSEY AIRPORT...;U.K.;A2;2015
22280;2015-02-24;DHC-8-102;C-GTAI;AIR CANADA EXPRESS, OPB JAZZ AVIATION;0;SAULT STE. MARIE...;CANADA;A2;2015
22281;2015-02-24;CESSNA 208B SUPER CARGOMASTER;N989FX;FEDEX;0;BALTIMORE/WASHIN...;USA;A2;2015
22282;2015-02-26;BOEING 757-28A (PCF);C-GIAJ;CARGOJET AIRWAYS;0;ST. JOHN'S AIRPO...;CANADA;A2;2015
22283;2015-03-01;CANADAIR CHALLENGER 601-3A;N600NP;SIX HUNDRED NP;0;MARCO ISLAND AIR...;USA;A1;2015
22284;2015-03-04;AIRBUS A330-303;TC-JOC;THY;0;KATHMANDU-TRIBHU...;NEPAL;A1;2015
22285;2015-03-04;BAE ATP-F (LFD);PK-DGB;DERAYA AIR TAXI;0;WAMENA AIRPORT (...;INDONESIA;A1;2015
22286;2015-03-05;MD-88;N909DL;DELTA AIR LINES;0;NEW YORK-LA GUAR...;USA;A1;2015
22287;2015-03-05;LET L-410UVP-E20;E7-WDT;ICAR AIR;0;ANCONA-FALCONARA...;ITALY;A1;2015
22288;2015-03-08;DHC-8-402Q DASH 8;VT-SUA;SPICEJET;0;HUBLI AIRPORT (HBX);INDIA;A1;2015
22289;2015-03-10;CESSNA 208B SUPER CARGOMASTER;N12155;MARTINAIRE;0;MUSKEGON AIRPORT...;USA;A2;2015
22290;2015-03-12;RAYTHEON 390 PREMIER I;G-OOMC;POOL AVIATION;0;BLACKPOOL AIRPOR...;U.K.;A1;2015
22291;2015-03-13;GULFSTREAM G-IV;JA001G;JAPAN CIVIL AVIATION BUREAU;0;NEAR NIIGATA AIRPORT ...;JAPAN;A2;2015
22292;2015-03-14;AIRBUS A330-343;9M-MTA;MALAYSIA AIRLINES;0;MELBOURNE-TULLAM...;AUSTRALIA;A2;2015
22293;2015-03-19;BOEING 747SP-27;7O-YMN;YEMEN GOVERNMENT;0;ADEN INTERNATION...;YEMEN;O1;2015
22294;2015-03-24;AIRBUS A320-211;D-AIPX;GERMANWINGS;150;PRADS-HAUTE-BLÃ©ONE;FRANCE;C1;2015
22295;2015-03-24;DORNIER 228-201;IN240;INDIAN NAVY;2;NEAR GOA, INDIA;INDIAN OCEAN;A1;2015
22296;2015-03-24;CESSNA 208B SUPERVAN 900;N106BZ;PRIVATE;0;VERDIGRIS, OK;USA;A1;2015
22297;2015-03-26;ANTONOV AN-2R;UR-62681;AGROTEKHSERVICE;2;PROMIN, LUTSK DI...;UKRAINE;A1;2015
22298;2015-03-26;CASA CN-235M-300;2211;YEMEN AF;0;SANA'A-AL DALAIM...;YEMEN;C1;2015
22299;2015-03-26;BEECH 300 SUPER KING AIR;UNREG.;YEMEN AF;0;SANA'A-AL DALAIM...;YEMEN;C1;2015
22300;2015-03-29;AIRBUS A320-211;C-FTJP;AIR CANADA;0;HALIFAX-STANFIEL...;CANADA;A1;2015
22301;2015-03-31;ANTONOV AN-2T;RF-00388;DOSAAF;0;MAKHACHKALA AIRP...;RUSSIA;O1;2015
22303;2015-04-01;BOEING 737-8AS (WL);EI-DWE;RYANAIR;0;DUBLIN AIRPORT (...;IRELAND;A2;2015
22304;2015-04-01;BOEING 737-8AS (WL);EI-DYA;RYANAIR;0;DUBLIN AIRPORT (...;IRELAND;A2;2015
22305;2015-04-03;BEECH 300 KING AIR 350ER;N5018S;BEECHCRAFT;0;WICHITA-COLONEL ...;USA;O1;2015
22306;2015-04-03;BEECH 300 KING AIR 350ER;N5019Q;BEECHCRAFT;0;WICHITA-COLONEL ...;USA;O1;2015
22307;2015-04-03;BEECH 300 KING AIR 350ER;N5027X;BEECHCRAFT;0;WICHITA-COLONEL ...;USA;O1;2015
22308;2015-04-03;BEECH 300 KING AIR 350ER;N957ER;BEECHCRAFT;0;WICHITA-COLONEL ...;USA;O1;2015
22309;2015-04-03;BEECH 300 KING AIR 350ER;N958ER;BEECHCRAFT;0;WICHITA-COLONEL ...;USA;O1;2015
22310;2015-04-03;BEECH 300 KING AIR 350ER;N275BT;EXECUTIVE AIRSHARE;0;WICHITA-COLONEL ...;USA;O1;2015
22311;2015-04-03;ANTONOV AN-74-200;RA-74056;SHAR;0;BARNEO CAMP ICES...;ARCTIC OCEAN;A1;2015
22312;2015-04-10;GULFSTREAM G-IV;N450KK;LA VENEZOLANA DE SEGUROS Y VIDA;0;NEAR CARIBBEAN SEA;ATLANTIC OCEAN;A2;2015
22313;2015-04-13;SWEARINGEN SA226-TC METRO II;C-GSKC;CARSON AIR;2;NEAR NORTH VANCOUVER, BC;CANADA;A1;2015
22314;2015-04-13;BOEING 737-85R;VT-JGA;JET AIRWAYS;0;KHAJURAHO AIRPOR...;INDIA;A2;2015
22315;2015-04-13;LOCKHEED NC-130F HERCULES;148897;USMC;0;PORT HUENEME-POI...;USA;A1;2015
22316;2015-04-14;AIRBUS A320-232;HL7762;ASIANA AIRLINES;0;HIROSHIMA INTERN...;JAPAN;A1;2015
22317;2015-04-16;FAIRCHILD SA227-AC METRO III;N2691W;KEY LIME AIR;0;NEAR RIFLE-GARFIELD C...;USA;A2;2015
22318;2015-04-21;LOCKHEED AC-130J GHOSTRIDER;09-5710;USAF;0;NEAR VALPARAISO-EGLIN...;USA;A1;2015
22319;2015-04-25;AIRBUS A320-232;TC-JPE;THY;0;ISTANBUL-ATATÃ¼R...;TURKEY;A1;2015
22320;2015-04-25;BEECH 200 SUPER KING AIR;YV2803;SATA;0;MARACAIBO-LA CHI...;VENEZUELA;A1;2015
22321;2015-04-25;DASSAULT FALCON 20D;G-FRAK;COBHAM AVIATION SERVICES;0;NEAR PORTLAND BILL;U.K.;A2;2015
22322;2015-04-28;CANADAIR CRJ-702ER;7O-FAA;FELIX AIRWAYS;0;SANA'A INTERNATI...;YEMEN;C1;2015
22323;2015-04-28;SHINMAYWA US-2;9905;JAPANESE NAVY;0;NEAR ASHIZURI CAPE, J...;PACIFIC OCEAN;A1;2015
22324;2015-04-30;BOEING RC-135V RIVET JOINT;64-14848;USAF;0;BELLEVUE-OFFUTT ...;USA;A2;2015
22325;2015-05-02;BOEING 737-330;D-ABEK;LUFTHANSA;0;KATOWICE-PYRZOWI...;POLAND;A2;2015
22326;2015-05-04;ILYUSHIN IL-76TD;7O-ADG;YEMEN AF;0;SANA'A INTERNATI...;YEMEN;C1;2015
22327;2015-05-09;AIRBUS A400M ATLAS;EC-403;AIRBUS INDUSTRIE;4;NEAR SEVILLA AIRPORT ...;SPAIN;A1;2015
22328;2015-05-09;BAE-146-300;5A-DKQ;AIR LIBYA;0;DAHRA OILFIELD;LIBYA;O1;2015
22329;2015-05-10;XIAN MA60;B-3476;JOY AIR;0;FUZHOU CHANGLE I...;CHINA;A1;2015
22330;2015-05-10;ANTONOV AN-2;RF-01159;DOSAAF, ROSTOV ATSK;0;AZOV DISTRICT, R...;RUSSIA;A1;2015
22331;2015-05-12;LEARJET 35;N80PG;PHOENIX AIR GROUP;0;NEWPORT NEWS/WIL...;USA;A2;2015
22332;2015-05-16;ANTONOV AN-2R;LY-AET;KLAIPEDOS AVIALINIJOS;2;NEAR KLAIPEDA, LITHUA...;ATLANTIC OCEAN;A1;2015
22333;2015-05-16;BEECH B200 KING AIR;N505SP;N505SP;0;CARLSBAD-MCCLELL...;USA;A2;2015
22334;2015-05-18;ANTONOV AN-2R;RA-56528;PRIVATE;0;SANAMER, STAVROP...;RUSSIA;A1;2015
22335;2015-05-19;CESSNA 208B GRAND CARAVAN;5Y-NKV;AIRWORKS;0;MANDENG AIRSTRIP;SOUTH SUDAN;A1;2015
22336;2015-05-20;BAE-125-700A;(N917TF);UNKNOWN;4;NEAR PUERTO COLOMBIA;COLOMBIA;C1;2015
22337;2015-05-30;DHC-8-315Q MPA;JA727B;JAPAN COAST GUARD;0;SENDAI AIRPORT (...;JAPAN;A2;2015
22338;2015-06-02;SWEARINGEN SA226-TC METRO II;XA-UKP;AERONAVES TSM;5;NEAR QUERÃ©TARO AIRPO...;MEXICO;A1;2015
22339;2015-06-04;DHC-3T TEXAS TURBINE OTTER;N3125N;ALASKA AIR TAXI;0;NEAR SKWENTNA, AK;USA;A2;2015
22340;2015-06-08;DORNIER 228-202;CG-791;INDIAN COAST GUARD;3;NEAR PICHAVARAM;INDIAN OCEAN;A1;2015
22341;2015-06-10;CESSNA 525A CITATIONJET CJ2+;JA021R;AUTO PANTHER;0;KONAN AIRPORT (OKS);JAPAN;A2;2015
22342;2015-06-11;DHC-6 TWIN OTTER 300;8Q-TMG;TRANS MALDIVIAN AIRWAYS;0;MALE INTERNATION...;MALDIVES;A2;2015
22343;2015-06-11;DHC-6 TWIN OTTER 300;8Q-MAP;TRANS MALDIVIAN AIRWAYS;0;MALE INTERNATION...;MALDIVES;A2;2015
22344;2015-06-11;ECLIPSE 500;N508JA;MEMLY AVIATION;0;SACRAMENTO-EXECU...;USA;A2;2015
22345;2015-06-11;HAWKER 800XP;N497AG;SWAT TECHNOLOGY;0;PORT HARCOURT AI...;NIGERIA;A1;2015
22346;2015-06-12;BOEING 737-33A;VH-NLK;NAURU AIRLINES;0;NEAR KOSRAE AIRPORT (...;MICRONESIA;I2;2015
22347;2015-06-15;ANTONOV AN-2R;RA-84553;VODOLEY;0;TATSINSKY DISTRI...;RUSSIA;A1;2015
22348;2015-06-16;BOEING 737-322 (WL);LY-FLB;SCAT;0;AKTAU AIRPORT (SCO);KAZAKHSTAN;O1;2015
22349;2015-06-17;BOEING 747-451;N664US;DELTA AIR LINES;0;OVER CHINA;CHINA;A1;2015
22350;2015-06-19;ANTONOV AN-2R;RA-40646;VOSTOK AVIAKOMPANIA;0;NEAR KEZHMA, KEZHEMSK...;RUSSIA;A1;2015
22351;2015-06-22;LEARJET 35A;N640BA;BETA AIRE;0;GROSSE ILE MUNIC...;USA;A2;2015
22352;2015-06-25;DHC-3T VAZAR TURBINE OTTER;N270PA;PROMECH AIR;9;NEAR ELLA LAKE, MISTY...;USA;A1;2015
22353;2015-06-25;ANTONOV AN-2;HL1090;SOUTH KOREA AF;0;OKCHEON, NORTH C...;SOUTH KOREA;A2;2015
22354;2015-06-29;SHORTS 360-300;N221LM;TRANSAIR (CARGO);0;KAPOLEI-KALAELOA...;USA;A2;2015
22355;2015-06-30;LOCKHEED C-130B HERCULES;A-1310;INDONESIAN AF;139;NEAR MEDAN-SOEWONDO A...;INDONESIA;A1;2015
22356;2015-06-30;BEECH C99;N6199D;AMERIFLIGHT;0;SALT LAKE CITY I...;USA;A1;2015
22357;2015-07-02;DHC-6 TWIN OTTER 300;8Q-MAN;TRANS MALDIVIAN AIRWAYS;0;NEAR KUREDU ISLAND RE...;MALDIVES;A2;2015
22358;2015-07-03;CONSOLIDATED PBY-6A CATALINA;N85U;FLYING FIREMEN;0;NEAR ORANGE BEACH, AL;USA;O1;2015
22359;2015-07-07;CESSNA 208B GRAND CARAVAN;DU-SD1;SKYDIVE DUBAI;0;NEAR DUBAI-SKYDIVE DU...;U.A.E.;A1;2015
22360;2015-07-07;LOCKHEED C-130H HERCULES;79-0478;USAF;0;BAGHDAD INTERNAT...;IRAQ;A1;2015
22361;2015-07-14;FOKKER 50;9Q-CJB;CAA;0;GOMA AIRPORT (GOM);D.R. CONGO;A1;2015
22362;2015-07-17;ANTONOV AN-12BK;RF-94291;RUSSIAN AF;0;CHELYABINSK AIRP...;RUSSIA;A2;2015
22363;2015-07-17;CANADAIR CL-215;1070;HELLENIC AF;0;NEAR FARAKLO, LACONIA;GREECE;A2;2015
22364;2015-07-17;CESSNA 208B GRAND CARAVAN;SP-WAW;SKYDIVE WARSAW;0;LADOWISKO CHRCYN...;POLAND;A2;2015
22365;2015-07-19;AIRBUS A321-231;G-EUXF;BRITISH AIRWAYS;0;GLASGOW INTERNAT...;U.K.;A2;2015
22366;2015-07-19;LEARJET 35A;YV543T;PRIVATE;0;PANAMA CITY-TOCU...;PANAMA;A1;2015
22367;2015-07-22;CANADAIR CHALLENGER 601-3A;N613PJ;PARAGON JETS;0;WEST PALM BEACH ...;USA;A2;2015
22368;2015-07-23;IAI 1125 ASTRA;N765A;MOUNTAIN AIR SERVICES;0;BALTIMORE/WASHIN...;USA;A2;2015
22369;2015-07-23;CESSNA 208 CARAVAN I;PR-PAZ;GREENPEACE BRASIL;0;NEAR MANAUS-EDUARDO G...;BRAZIL;A1;2015
22370;2015-07-24;ATR 72-212;XY-AIH;AIR BAGAN;0;YANGON-MINGALADO...;MYANMAR;A1;2015
22371;2015-07-27;EMBRAER C-95BM BANDEIRANTE (EMB-110);2326;BRAZILIAN AF;0;LAGOA SANTA AIR ...;BRAZIL;A2;2015
22372;2015-07-31;EMBRAER PHENOM 300;HZ-IBN;SALEM AVIATION;4;BLACKBUSHE AIRPO...;U.K.;A1;2015
22373;2015-07-31;EMBRAER EMB-120ER BRASILIA;VQ-BBX;RUSLINE;0;MOSKVA-DOMODEDOV...;RUSSIA;A1;2015
22374;2015-07-31;CASA CN-235M-200;FAC-1261;COLOMBIAN AF;11;NEAR CODAZZI;COLOMBIA;A1;2015
22375;2015-08-01;ANTONOV AN-2R;YR-PEG;AERO WEST;1;STANCUTA;ROMANIA;A1;2015
22376;2015-08-02;CESSNA 208B GRAND CARAVAN EX;N942AC;AIR CHOICE ONE;0;CHICAGO-O'HARE I...;USA;A2;2015
22377;2015-08-05;CESSNA 560XL CITATION XLS;N560JF;SNOW PEAK VENTURES;0;SPANISH FORK-SPR...;USA;A2;2015
22378;2015-08-11;BOEING 737-73V (WL);N561WN;SOUTHWEST AIRLINES;0;ORLANDO INTERNAT...;USA;O2;2015
22379;2015-08-11;BEECH B200 KING AIR;N531SW;SOUTHWEST AIRCRAFT CHARTER;0;CHANDLER MUNICIP...;USA;O1;2015
22380;2015-08-12;CESSNA 208B SUPER CARGOMASTER;N924FE;MOUNTAIN AIR CARGO;0;NEAR SABA;CARIBBEAN NETH'LANDS;A1;2015
22381;2015-08-15;AIRBUS A321-231;N564UW;AMERICAN AIRLINES;0;CHARLOTTE-DOUGLA...;USA;A2;2015
22382;2015-08-16;ATR 42-300;PK-YRN;TRIGANA AIR SERVICE;54;NEAR OKSIBIL AIRPORT ...;INDONESIA;A1;2015
22383;2015-08-16;ROCKWELL SABRELINER 60SC;N442RM;BAE SYSTEMS, OP.FOR US DOD;4;NEAR SAN DIEGO-BROWN ...;USA;A1;2015
22384;2015-08-16;BEECH A100 KING AIR;C-FDOR;MARITIME AIR CHARTER;0;MARGAREE AIRPORT...;CANADA;A1;2015
22385;2015-08-17;BEECH 99;N128SF;HUMMINGBIRD AIR;0;CODRINGTON AIRPO...;ANTIGUA;A2;2015
22386;2015-08-19;BOEING 737-3M8 (WL);OO-LTM;KORONGO AIRLINES, LSF BRUSSELS AIRLINES;0;MBUJI-MAYI AIRPO...;D.R. CONGO;A1;2015
22387;2015-08-20;LET L-410MA;OM-SAB;DUBNICA AIR;3;CERVENÃ½ KAMEN;SLOVAKIA;A1;2015
22388;2015-08-20;LET L-410UVP;OM-ODQ;DUBNICA AIR;4;CERVENÃ½ KAMEN;SLOVAKIA;A1;2015
22389;2015-08-21;ECLIPSE 500;N120EA;UF EQUIPMENT;0;DANBURY AIRPORT,...;USA;A1;2015
22390;2015-08-26;CESSNA S550 CITATION S/II;YV3125;UNKNOWN;0;CHARALLAVE-ÃSCA...;VENEZUELA;A1;2015
22391;2015-08-27;CESSNA 750 CITATION X;XA-KYE;UNKNOWN;0;TOLUCA AIRPORT (...;MEXICO;A1;2015
22392;2015-08-27;LOCKHEED CP-140 AURORA;140103;RCAF;0;GREENWOOD CANADI...;CANADA;A2;2015
22393;2015-08-28;VIKING AIR DHC-6 TWIN OTTER 400;JA201D;FIRST FLYING;0;AGUNI AIRPORT (AGJ);JAPAN;A2;2015
22394;2015-08-28;BOEING 737-3Q8 (BDSF);PK-BBY;CARDIG AIR;0;WAMENA AIRPORT (...;INDONESIA;A1;2015
22395;2015-08-28;DASSAULT FALCON 2000;N187AA;ANTON AIR;0;LAS VEGAS-MCCARR...;USA;A2;2015
22396;2015-08-29;DORNIER 228-212;NAF030;NIGERIAN AF;7;KADUNA;NIGERIA;A1;2015
22397;2015-08-31;ANTONOV AN-30D;UNREG.;LUKIAVIATRANS;0;KEPERVEYEM AIRPORT;RUSSIA;A2;2015
22398;2015-09-01;BEECH 300 SUPER KING AIR;N300PP;HANDEL- EN EXPLOITATIEMIJ. RUYGROK;0;ROTTERDAM/THE HA...;NETHERLANDS;A1;2015
22399;2015-09-01;FAIRCHILD SA227-DC METRO 23;VH-HPE;TOLL AVIATION;0;THANGOOL AIRPORT...;AUSTRALIA;A2;2015
22400;2015-09-02;BEECH B200 KING AIR;VH-FDB;ROYAL FLYING DOCTOR SERVICE;0;BARCALDINE AIRPO...;AUSTRALIA;A2;2015
22401;2015-09-03;CESSNA 550B CITATION BRAVO;OE-GLG;JET24;0;WIEN-SCHWECHAT I...;AUSTRIA;A1;2015
22402;2015-09-05;BAE-125-700A;6V-AIM;SENEGALAIR;7;NEAR DAKAR, SENEGAL;ATLANTIC OCEAN;A1;2015
22403;2015-09-05;BOEING 737-8FB (WL);3C-LLY;CEIBA INTERNATIONAL;0;NEAR TAMBACOUNDA;SENEGAL;A2;2015
22404;2015-09-06;DHC-6 TWIN OTTER 200;N181CS;RAMPART AVIATION;0;LOUISBURG-NORTH ...;USA;A1;2015
22405;2015-09-06;ANTONOV AN-2TD;D-FWJK;FSC HALLE-OPPIN;0;MERSEBURG AIRPORT;GERMANY;A2;2015
22406;2015-09-08;BOEING 777-236ER;G-VIIO;BRITISH AIRWAYS;0;LAS VEGAS-MCCARR...;USA;A2;2015
22407;2015-09-15;DHC-3T TEXAS TURBINE OTTER;N928RK;RAINBOW KING LODGE;3;NEAR ILIAMNA-EAST WIN...;USA;A1;2015
22408;2015-09-15;BOEING 777-3DZER;A7-BAC;QATAR AIRWAYS;0;MIAMI INTERNATIO...;USA;I2;2015
22409;2015-09-16;ANTONOV AN-2R;RA-35141;YENISEI AIRLINE;0;NEAR BRATSK;RUSSIA;A1;2015
22410;2015-09-19;AIRBUS A321-211;D-ABCK;AIR BERLIN;0;DÃ¼SSELDORF INTE...;GERMANY;A2;2015
22411;2015-09-21;DHC-6 TWIN OTTER 300;8Q-TME;TRANS MALDIVIAN AIRWAYS;0;LHAVIYANI KANIFU...;MALDIVES;O2;2015
22412;2015-09-25;CURTISS C-46A;C-GTXW;BUFFALO AIRWAYS;0;DÃ©LINE AIRPORT,...;CANADA;A1;2015
22413;2015-09-25;CESSNA 550 CITATION BRAVO;VH-FGK;YULGILBAR PASTORAL CO;0;LISMORE AIRPORT,...;AUSTRALIA;A1;2015
22414;2015-09-27;CESSNA 550 CITATION II;N622PG;PRIVATE;0;SARASOTA-BRADENT...;USA;A2;2015
22415;2015-09-30;DHC-8-402Q DASH 8;LX-LGH;LUXAIR;0;SAARBRÃ¼CKEN-ENS...;GERMANY;A1;2015
